timestamp|call_id|caller_number|receiver_number|call_duration|call_type|call_drop_status|location|device_model|operator|call_reason|call_result
2022-01-01 10:30:00|130|555-5678|555-7890|240|Incoming|No|Denver|Google Pixel 4a|T-Mobile|Normal|Completed
2022-01-01 10:35:00|131|555-9876|555-8765|150|Outgoing|Yes|Indianapolis|iPhone 12 Pro|Verizon|Poor Signal|Dropped
2022-01-01 10:40:00|132|555-2345|555-5432|120|Incoming|No|Fort Worth|Samsung A51|AT&T|Normal|Completed
2022-01-01 10:45:00|133|555-8765|555-5678|90|Outgoing|Yes|Phoenix|Google Pixel 4|T-Mobile|Network Congestion|Dropped
2022-01-01 10:50:00|134|555-5432|555-2345|180|Incoming|No|Boston|iPhone XS|Verizon|Normal|Completed
2022-01-01 10:55:00|135|555-7890|555-8765|210|Outgoing|Yes|Austin|Samsung A71|AT&T|Poor Signal|Dropped
2022-01-01 11:00:00|136|555-2345|555-5432|150|Incoming|No|San Diego|OnePlus 8T|T-Mobile|Normal|Completed
2022-01-01 11:05:00|137|555-5678|555-9876|120|Outgoing|Yes|Philadelphia|iPhone 12 Mini|Verizon|Network Congestion|Dropped
2022-01-01 11:10:00|138|555-9876|555-8765|90|Incoming|No|Charlotte|Samsung S20 FE|AT&T|Normal|Completed
2022-01-01 11:15:00|139|555-8765|555-5678|180|Outgoing|Yes|San Jose|OnePlus 7 Pro|T-Mobile|Poor Signal|Dropped
2022-01-01 11:20:00|140|555-2345|555-5432|210|Incoming|No|Indianapolis|iPhone 11|Verizon|Normal|Completed
2022-01-01 11:25:00|141|555-5678|555-8765|150|Outgoing|Yes|Jacksonville|Samsung S10 Plus|AT&T|Network Congestion|Dropped
2022-01-01 11:30:00|142|555-9876|555-2345|120|Incoming|No|Columbus|Google Pixel 3|T-Mobile|Normal|Completed
2022-01-01 11:35:00|143|555-8765|555-5678|90|Outgoing|Yes|Fort Worth|iPhone XR|Verizon|Poor Signal|Dropped
2022-01-01 11:40:00|144|555-2345|555-8765|180|Incoming|No|San Francisco|Samsung A71|AT&T|Normal|Completed
2022-01-01 11:45:00|145|555-5678|555-8765|210|Outgoing|Yes|Charlotte|OnePlus 8T|T-Mobile|Network Congestion|Dropped
2022-01-01 11:50:00|146|555-9876|555-2345|150|Incoming|No|Seattle|iPhone 12 Mini|Verizon|Normal|Completed
